Rank,HS6_Code,Short_Name_ENG,ESRI_Score
125,139222,"Tarpaulins, awnings and s",0.01257144767332679
126,244426,Copper tubes and pipes,0.012552039085717162
127,271162,Ferrite cores of transfor,0.012529452236965744
128,281214,Pressure-reducing valves ,0.01249251820873792
129,289230,Pile-drivers and pile-ext,0.012462308460654933
130,222926,Plastic fittings for furn,0.012390644089581009
131,181214,"Printed books, brochures,",0.012321615460213948
132,272021,Lead-acid accumulators of,0.012320351596401158
133,281133,Parts of gas turbines (ex,0.0122876149645526
134,282923,Gaskets and similar joint,0.012224498977931434
135,222991,Plastic parts for machine,0.012091722044796376
136,292010,Bodies for motor cars and,0.012044525550642877
137,222319,Builder’s fittings and mo,0.01200272256939847
138,244413,Unwrought unalloyed refin,0.011944406183342395
139,281313,Positive displacement pum,0.011766873079961652
140,281411,Pressure-reducing valves ,0.01175014543560377
141,141321,"Men’s or boys’ raincoats,",0.011672658999149162
142,279060,Fixed electrical resistor,0.011664886397217324
143,274014,Filament lamps for motorc,0.011634288363461047
144,241064,"Hot-rolled round bars, of",0.011621726920179234
145,289112,"Parts for converters, lad",0.011561470178926501
146,139411,"Twine, cordage, rope or c",0.011560184273857143
147,221940,Rubber transmission belts,0.011541301851308524
148,281199,Sub-contracted operations,0.01147970462008513
149,282213,Built-in jacking systems ,0.011474057142002593
150,291012,Spark-ignition reciprocat,0.011452325728819147
151,272012,Parts of primary cells an,0.01145097361742857
152,244224,"Aluminium plates, sheets ",0.011441947837519938
153,291059,Fire-fighting vehicles,0.01144078294381049
154,279070,"Electrical signalling, sa",0.011379211936454144
155,259925,"Base metal hooks, eyes, e",0.011332530793112177
156,291013,Vehicle compression-ignit,0.011315704719822043
157,231213,Multiple-walled insulatin,0.011286557244733368
158,245130,"Tube or pipe fittings, of",0.011275763486379894
159,281323,Compressors for refrigera,0.01124363380084352
160,289227,Bulldozer or angledozer b,0.011234928522635645
161,221111,New pneumatic rubber tyre,0.011191307013897301
162,141331,Woman’s or girls’ raincoa,0.011171099455961257
163,273399,Sub-contracted operations,0.011138069133312037
164,271161,Parts suitable for use so,0.011136374873376972
165,281526,Clutches and shaft coupli,0.011127522580079527
166,281510,Ball bearings,0.01112628882922774
167,281212,Rotating hydraulic and pn,0.011121442532017958
168,221115,Solid or cushion rubber t,0.011120169349055483
169,162124,Veneer sheets and sheets ,0.011106260518164683
170,271123,Multi-phase AC motors of ,0.011099758998717688
171,259299,Sub-contracted operations,0.011085444491299468
172,241042,"Cold-rolled sheet, plate ",0.011075270153710492
173,264034,"Monitors and projectors, ",0.011065676969669062
174,245120,"Tubes, pipes and hollow p",0.011064627051885975
175,281215,Reciprocating positive di,0.011064627051885973
176,242011,"Line pipe, of a kind used",0.011064627051885972
177,231412,Mats of irregularly lamin,0.01106462705188597
178,241021,Flat semi-finished produc,0.011064627051885963
179,257310,Spades and shovels,0.01106441563743629
180,231299,Sub-contracted operations,0.011064351394006845
181,221120,Retreaded tyres of rubber,0.011064336277905783
182,310112,Wooden furniture of a kin,0.011058215486081567
183,141333,Women’s or girls’ jackets,0.011023458396542117
184,222923,Tableware and kitchenware,0.010973961888552246
185,262040,Parts and accessories of ,0.010905926620002821
186,331910,Repair services of tarpau,0.010790661212968188
187,141423,Women’s or girls’ blouses,0.010540986434781567
188,222211,Sacks and bags of polymer,0.010530182990382756
189,284140,Parts and accessories for,0.010191772626499165
190,141324,Men’s or boys’ trousers a,0.009985654425692068
191,141212,Men’s or boys’ trousers a,0.00983026542890161
192,310210,Kitchen furniture,0.009824475393511741
193,257350,Moulding boxes for metal ,0.009764745404353061
194,181216,Printing onto textiles,0.009695977977176275
195,141230,Men’s or boys’ other garm,0.009622868660938285
196,310912,Wooden bedroom furniture ,0.009605644725998216
197,275130,Parts for vacuum cleaners,0.009604386704998746
198,141211,"Men’s or boys’ ensembles,",0.009389983615027023
199,181219,Printed calendars of any ,0.009228751823251278
200,151212,"Trunks, suitcases, vanity",0.009156724078719146
201,271210,Fuses for a voltage > 1 k,0.009084893458050853
202,181212,Printed commercial catalo,0.008995983193331824
203,141399,Sub-contracted operations,0.00858031567526177
204,143910,"Men’s or boys’ jerseys, p",0.008529198937707934
205,265181,Parts of radar apparatus ,0.008479570393143662
206,262030,Other units of automatic ,0.008348289908150461
207,139216,Hand-woven tapestries of ,0.008328006586261339
208,310913,Other wooden furniture (e,0.008083163759664332
209,261122,Semiconductor light emitt,0.00801152767624552
210,172114,"Folding cartons, boxes an",0.007871785293278189
211,263040,Telescopic and whip-type ,0.007832538428210793
212,331229,Repair and maintenance se,0.007727639437813719
213,282218,"Teleferics, chair-lifts, ",0.00766292689557081
214,279020,Indicator panels incorpor,0.007658821782621542
215,162914,Wooden frames for paintin,0.007638023513506106
216,265184,Parts and accessories for,0.007611202083500637
217,141922,Other men’s or boys’ appa,0.007606496114707086
218,162311,"Windows, french windows a",0.0075910595578197035
219,141430,"T-shirts, singlets and ve",0.0075451070600792
220,141314,Women’s or girls’ jackets,0.007499385101224465
221,283091,Parts of machinery and ap,0.0074026854032353505
222,251210,"Iron or steel doors, thre",0.007378548172680587
223,257399,Sub-contracted operations,0.007354892813708697
224,279052,Fixed electrical capacito,0.007343747743591718
225,172199,Sub-contracted operations,0.007339293887148538
226,255013,Sheet metal forming of st,0.007311384969244754
227,261150,Multilayer printed circui,0.007199408258944508
228,259314,"Nails, tacks, drawing pin",0.007169500319228575
229,251110,"Prefabricated buildings, ",0.007164546081316644
230,141222,Women’s or girls’ trouser,0.007162617375057066
231,181213,"Printed newspapers, journ",0.007070824209372147
232,243411,Iron or non-alloy steel w,0.007059867118244774
233,265143,Instruments for measuring,0.007024668359714011
234,271223,Electrical apparatus for ,0.006980043061149002
235,141313,Women’s or girls’ overcoa,0.006769079883956488
236,141923,Handkerchiefs,0.006670074650351378
237,329953,"Instruments, apparatus an",0.006603156083766915
238,274042,Parts of portable electri,0.006579800515235973
239,323015,"Leather sports gloves, mi",0.006574634899563932
240,181330,Other graphic services,0.006540768834471125
241,141919,"Shawls, scarves, mufflers",0.006505409366470417
242,141413,Women’s or girls’ blouses,0.006442340415872415
243,139912,Embroidery (without visib,0.006393296748846604
244,310012,Seats convertible into be,0.006392765300488134
245,172313,"Registers, account books,",0.006314602491890723
246,141311,"Men’s or boys’ overcoats,",0.006164392474946608
247,172115,Other packaging container,0.006161171516322805
248,323014,Gymnasium or athletics ar,0.006116856235415168
249,141312,Men’s or boys’ jackets an,0.0060834457996934085
250,172919,Cigarette paper in rolls ,0.006079539369914533
251,331215,Repair and maintenance of,0.005992723584085089
252,141942,Felt hats and other felt ,0.005928605431150539
253,222999,Sub-contracted operations,0.005891840679406226
254,329111,Brooms and brushes of twi,0.0057147765328812525
255,244222,"Aluminium bars, rods and ",0.005669419937893664
256,139299,Sub-contracted operations,0.005644782243318627
257,141323,Men’s or boys’ jackets an,0.0056419081478485
258,139224,Sleeping bags,0.005627690207367081
259,310113,Wooden furniture for shop,0.005550793592369888
260,139214,Toilet linen and kitchen ,0.005544674369024596
261,222314,"Plastic doors, windows an",0.005503767356145792
262,331311,Repair and maintenance of,0.005491551950502428
263,259213,Crown corks of base metal,0.005482757599201541
264,139213,Table linen of knitted or,0.005477633919703039
265,261121,Semiconductor diodes,0.0054592106578961646
266,284131,Numerically controlled be,0.0054511134908941765
267,279032,Parts of machines and app,0.005443665132998796
268,139221,"Sacks and bags, of cotton",0.005406111252904054
269,265164,"Revolution, production an",0.005405520908620323
270,222924,"Plastic parts for lamps, ",0.005352870134464613
271,181215,Printing services for lab,0.005346949080635795
272,139312,Woven carpets and other w,0.005334713734213511
273,256111,Metallic coating by immer,0.0053273022951935665
274,172999,Sub-contracted operations,0.005319365085525435
275,255011,Wrought steel shaped free,0.005305146521321393
276,282322,Parts and accessories of ,0.005241929858532082
277,274025,Chandeliers and other ele,0.005220086065209038
278,141421,Men’s or boys’ shirts (ex,0.005206172272054483
279,244423,"Copper wire, refined (tra",0.005162564897971309
280,266011,Apparatus based on the us,0.005154726144752607
281,251122,Iron or steel towers and ,0.005140070323477524
282,241051,"Tinplate, other tinned sh",0.004969620241642178
283,262013,Desk top PCs,0.004928178606757479
284,181410,Bookbinding and finishing,0.0049158752470528574
285,271142,Measuring transformers ha,0.004897628627159815
286,262021,Storage units,0.004886284662907425
287,283093,Parts of poultry-keeping ,0.0048708228911160546
288,324039,Games and toys n.e.c.,0.004850606059892281
289,239919,"Slag wool, rock wool and ",0.0048326971124167135
290,162319,Builders’ joinery and car,0.004786140154082086
291,243210,Cold-rolled narrow strip ,0.004738910749388195
292,172112,"Sacks and bags, with a ba",0.004691167745809524
293,201640,"Polyacetals, in primary f",0.004655557578006715
294,205941,Lubricating preparations ,0.004654556934310297
295,139215,Curtains and interior bli,0.0046322584563725285
296,264051,Precious or semi-precious,0.00460683348627012
297,279031,Electric soldering irons ,0.004601733251404068
298,151219,Articles of leather or co,0.004590339581962612
299,139211,Blankets and travelling r,0.004574660149323013
300,259312,Barbed wire and barbed wi,0.004572811151144809
301,310014,Parts of seats,0.004568308130683655
302,279012,Electrical insulators (ex,0.004563475958956647
303,141912,"Track-suits, of knitted o",0.004562122590948447
304,243130,Cold-drawn bars and solid,0.004542158303177447
305,172212,Sanitary towels and tampo,0.004531859597133308
306,310311,Mattress supports (includ,0.004522765363667562
307,244530,Tungsten (wolfram) and ar,0.004475634727284405
308,172399,Sub-contracted operations,0.004472553510043785
309,331212,Repair and maintenance of,0.004469847388577606
310,329999,Sub-contracted operations,0.004436710693705174
311,323099,Sub-contracted operations,0.004434329091447188
312,293130,Parts of electrical ignit,0.004419682277460469
313,289332,Parts of machinery of HS ,0.004418878482456168
314,283059,Combine harvester-threshe,0.004408318381601538
315,243220,"Clad, cold-rolled narrow ",0.004396210724040108
316,265145,Instruments and apparatus,0.004393246133756305
317,383233,Secondary raw material of,0.0043913207662471965
318,236919,"Pipes of cement, concrete",0.00433231058967705
319,201651,"Polypropylene, in primary",0.00432065354418856
320,244223,Non-alloy aluminium wire ,0.004317727798982391
321,151213,"Watch straps, bands, brac",0.004297682317202607
322,302040,Parts of locomotives or r,0.004232638082941433
323,221950,Adhesive tape of rubberis,0.00422483309329552
324,310312,Mattresses of cellular ru,0.004223904535423218
325,259923,Base metal fittings for l,0.004214144744064157
326,261199,Sub-contracted operations,0.004180504237248586
327,262015,Other digital automatic d,0.004144699899091955
328,201654,"Polyamide -6, -11, -12, -",0.0041428133583156996
329,201224,Pigments and preparations,0.004124669808584958
330,244424,Copper and copper alloy p,0.004124103019002378
331,161012,"Wood, sawn or chipped len",0.004114057324202977
332,310020,"Parts of furniture, of me",0.004107052029502403
333,139212,Bed linen of knitted or c,0.004106270789408586
334,268014,Cards incorporating a mag,0.004076326765504835
335,201655,Urea resins and thiourea ,0.004074369533107961
336,282212,Winches and capstans (exc,0.0040620270256367915
337,132046,Woven fabrics of glass fi,0.004062027025636791
338,241034,Hot-rolled flat products ,0.004062027025636791
339,141221,Women’s or girls’ ensembl,0.004037562670914673
340,331221,Repair and maintenance se,0.003990189433951034
341,222299,Sub-contracted operations,0.003988548905884864
342,141931,"Gloves, mittens and mitts",0.003988202574729896
343,161025,"Wood in chips, particles,",0.003975338855289077
344,310914,Furniture of plastics (ex,0.0039469459286352124
345,273212,Insulated coaxial cables ,0.0039178551939598304
346,241032,Flat-rolled products of i,0.003915217544395548
347,241031,Flat-rolled products of i,0.0038962775192288536
348,351110,"Electricity, combined and",0.0038943692674021256
349,284922,Jigs and fixtures for spe,0.0038618955988429823
350,221999,Sub-contracted operations,0.003861859487137989
351,139999,Sub-contracted operations,0.0038508962688531554
352,265224,Time-registers and time-r,0.0037962099484226916
353,274041,Parts for electric filame,0.0037587174499712837
354,332029,Installation of engines a,0.0037365010007299163
355,141911,Babies’ garments and clot,0.003683495997990234
356,252112,Boilers for central heati,0.003668684796404613
357,259112,"Tanks, casks, drums, cans",0.0036677459654539265
358,282321,Office machines,0.003591765002774319
359,274099,Sub-contracted operations,0.003588015732749917
360,141299,Sub-contracted operations,0.00357129676547431
361,141411,"Men's or boys' shirts, kn",0.0035621653012718186
362,281142,Parts suitable for use so,0.0035500804646202227
363,261220,Network communications eq,0.0035252081586176227
364,262022,"Solid-state, non-volatile",0.0035252081586176222
365,141943,Other headgear (except he,0.0035162764232381503
366,257213,Base metal clasps and fra,0.0034840901165295837
367,331112,Repair and maintenance of,0.003476749057268948
368,222312,"Plastic baths, shower-bat",0.0034563010909539633
369,256112,Plastic coating of metals,0.0034328314362186245
370,281321,Rotary piston vacuum pump,0.003418559662971998
371,289940,Parts of printing and boo,0.003395362474123584
372,222199,Sub-contracted operations,0.003239159409250444
373,141110,Articles of apparel of le,0.0032372589080944584
374,151299,Sub-contracted operations,0.0032155222116135567
375,331419,Repair and maintenance of,0.0032026241782564624
376,139412,Made-up fishing nets from,0.0031902674444062107
377,267024,Rangefinders,0.0031637409067846703
378,329911,"Protective gloves, mitten",0.00314428436591273
379,264041,Microphones and their sta,0.003135211421567454
380,141913,"Gloves, mittens and mitts",0.0031235659516369303
381,283032,Scarifiers and cultivator,0.003114373188342626
382,289317,Bakery machinery (excl. o,0.0031107103589349022
383,259999,Sub-contracted operations,0.003107594194882998
384,273111,Optical fibre cables made,0.0030862100667832285
385,329954,"Candles, tapers and the l",0.0030587638776814518
386,329112,Tooth brushes,0.003054808192160691
387,205956,Pickling preparations for,0.0030515037005682953
388,265120,Radar apparatus,0.0030415487849267064
389,310991,Finishing services of new,0.0030230144179426424
390,152031,Footwear (including water,0.003019953416652697
391,241035,"Flat-rolled products, of ",0.003003355424047433
392,204299,Sub-contracted operations,0.0029557134451877855
393,353011,Heat water or steam heat ,0.0029536235066319463
394,331222,Repair and maintenance se,0.0029126817395620833
395,251299,Sub-contracted operations,0.002912225669916248
396,152014,Slippers and other indoor,0.002908288154902878
397,172299,Sub-contracted operations,0.0029045614856509174
398,324099,Sub-contracted operations,0.002901684931979895
