Rank,HS6_Code,Short_Name_ENG,ESRI_Score
133,265182,Parts and accessories for,281457.91695352417
134,275121,Vacuum cleaners with a se,281393.74986065715
135,310912,Wooden bedroom furniture ,279136.7772610705
136,331910,Repair services of tarpau,278717.5889911763
137,383211,Sorted metal materials re,278567.70091565436
138,211053,Glycosides and vegetable ,278060.1568121409
139,332039,Installation of other spe,276204.62896158296
140,283092,"Parts of agricultural, ho",276091.98818348325
141,201113,Liquid air; compressed ai,272211.17692108836
142,274025,Chandeliers and other ele,272141.316167854
143,271110,Electric motors of an out,271235.1807613518
144,251122,Iron or steel towers and ,270860.5503913934
145,273314,"Trunking, ducting and cab",266648.43650431215
146,271210,Fuses for a voltage > 1 k,265943.94276309124
147,110711,Mineral waters and aerate,265522.23207269865
148,236410,Factory made mortars,265180.45881810697
149,281314,"Submersible motor, single",264402.5420460047
150,281539,Parts of bearing housings,263112.1705577034
151,106121,Wheat or meslin flour,261760.76370164857
152,310112,Wooden furniture of a kin,261701.18575778374
153,332029,Installation of engines a,261406.28346898913
154,101160,"Guts, bladders and stomac",258920.2501157479
155,352210,Distribution services of ,257537.10847275076
156,331215,Repair and maintenance of,256629.58695778725
157,222129,"Flexible tubes, pipes and",254544.0797085303
158,106140,"Bran, sharps and other re",254030.44921744935
159,293123,Electrical or battery ope,252474.7472473481
160,201462,Acetone,251673.39876234898
161,256112,Plastic coating of metals,251395.3033099987
162,203011,"Paints and varnishes, bas",250522.9820675862
163,261199,Sub-contracted operations,248523.29420379284
164,291012,Spark-ignition reciprocat,248316.02164264082
165,172114,"Folding cartons, boxes an",245858.76570095538
166,103219,Unconcentrated juice of a,244028.68826019394
167,256121,Heat treatment of metals ,243922.41564608327
168,265185,Parts and accessories of ,243277.46694537072
169,222924,"Plastic parts for lamps, ",243225.83284630917
170,108222,"Filled chocolate blocks, ",242731.15340812868
171,310913,Other wooden furniture (e,241839.52475433412
172,205943,Hydraulic brake fluids an,239431.71034380433
173,181213,"Printed newspapers, journ",239106.72929972885
174,264051,Precious or semi-precious,238987.48561500557
175,204219,Soap and organic surface-,232134.86770755076
176,274041,Parts for electric filame,231530.56704127233
177,201422,Methanol (methyl alcohol),229760.34403964863
178,271125,Multi-phase AC traction m,229332.45901106423
179,282922,Fire extinguishers,229323.45106102747
180,204215,"Beauty, make-up and skin ",228150.6830299065
181,236919,"Pipes of cement, concrete",227871.0140266083
182,255013,Sheet metal forming of st,224572.6391075532
183,332050,Installation of electric ,224082.46860647856
184,108223,Chewing gum,223855.0702672716
185,239919,"Slag wool, rock wool and ",223553.68182445032
186,201352,Distilled and conductivit,223308.81637365682
187,172313,"Registers, account books,",220652.82898507273
188,222999,Sub-contracted operations,220646.68595781902
189,172911,Self-adhesive printed lab,220374.55516288342
190,332060,Design and assembly of in,220130.63798336894
191,331311,Repair and maintenance of,219501.5896927423
192,110110,Spirits obtained from dis,219005.23092334627
193,281311,Pumps fitted or designed ,218355.08661932568
194,262040,Parts and accessories of ,216735.35124092802
195,292030,"Chassis for trailers, sem",216528.68576643508
196,101113,Fresh or chilled carcases,216284.70848764197
197,274015,Fluorescent hot cathode d,215404.50469677188
198,310911,Metal furniture (excludin,213215.52572174044
199,262021,Storage units,211066.82590719924
200,281413,Temperature regulators (e,208818.61105014224
201,251210,"Iron or steel doors, thre",208119.73726549596
202,204216,Shampoos,208059.35568575477
203,259316,Iron or steel hot-worked ,207711.53719481474
204,222121,Artificial guts (sausage ,207247.40337391553
205,291013,Vehicle compression-ignit,207215.4580683016
206,282511,Heat exchange units,207052.46433311093
207,263040,Telescopic and whip-type ,206640.40052884887
208,239913,Bituminous mixtures based,206246.47361706747
209,107311,"Uncooked pasta, containin",204277.45371785588
210,310914,Furniture of plastics (ex,203729.37453471406
211,222142,"Non-cellular plates, shee",203553.87424921113
212,265166,Test benches,203083.0236047192
213,244226,Aluminium tubes and pipes,201741.46509078177
214,331719,Repair and maintenance se,201068.848652526
215,265152,Electronic flow meters (e,198948.02213971427
216,282218,"Teleferics, chair-lifts, ",198891.63547125828
217,101132,Frozen carcases and half-,198216.176787382
218,222314,"Plastic doors, windows an",197457.75407949326
219,162311,"Windows, french windows a",196829.5140226757
220,211020,"Lysine and its esters, an",196733.79948887363
221,222141,"Plates, sheet, film, foil",196268.24791666784
222,211052,"Hormones, prostaglandins,",196244.39122968647
223,331211,Repair and maintenance of,195139.76352809247
224,292023,Other trailers and semi-t,194808.5322597307
225,108412,Soya sauce,193747.5747737083
226,106133,"Rolled, flaked, hulled, p",193715.52043220258
227,103916,"Peas, preserved otherwise",192948.80189664126
228,81120,Gypsum and anhydrite,192798.08661198482
229,310012,Seats convertible into be,191476.93448586666
230,172919,Cigarette paper in rolls ,189131.1038522704
231,105112,Milk and cream of a fat c,187492.49658471416
232,257214,Base metal hinges,186846.2308022238
233,262030,Other units of automatic ,186443.00304536443
234,244222,"Aluminium bars, rods and ",186052.84069777036
235,181410,Bookbinding and finishing,186008.80286562056
236,282310,Accounting machines and s,184582.4307685612
237,221930,Rubber tubing not reinfor,184515.02833478665
238,201434,Dibutyl and dioctyl ortho,182453.73357886408
239,103918,Vegetables (excluding pot,181989.5846748126
240,103911,Frozen vegetables and mix,181514.62969880362
241,162914,Wooden frames for paintin,181085.9774429112
242,351210,Transmission services of ,181029.65258570202
243,271222,Automatic circuit breaker,180237.2754644204
244,331221,Repair and maintenance se,179403.26428130612
245,259213,Crown corks of base metal,179325.38421297405
246,383232,Secondary raw material of,179151.247724235
247,282217,Pneumatic elevators and c,178938.14246883185
248,360020,Treatment and distributio,178622.82399703033
249,244224,"Aluminium plates, sheets ",177880.2376369901
250,259412,Iron or steel spring wash,177739.57631264484
251,242040,"Flanges, of steel (exclud",177414.3365221919
252,283032,Scarifiers and cultivator,177113.88514184178
253,101316,"Flours, meals and pellets",176329.3670911895
254,172115,Other packaging container,176086.80384508692
255,255012,Drop forged (and precisio,175390.7154078758
256,282984,Non-automatic lubricating,174445.7728068056
257,274012,Tungsten halogen filament,173579.83458816516
258,272023,Hermetically sealed nicke,171570.44056637035
259,201111,Argon,170712.44986238712
260,221111,New pneumatic rubber tyre,170657.7313446531
261,264042,Single loudspeakers mount,170127.08398818964
262,261150,Multilayer printed circui,169994.39309790824
263,106131,Groats and meal of durum ,169818.2910907887
264,274014,Filament lamps for motorc,169526.98652394823
265,329999,Sub-contracted operations,169036.497394819
266,222312,"Plastic baths, shower-bat",168962.81038097994
267,289620,Parts for machinery for w,167757.78567934234
268,107211,Crispbread,167316.95423406817
269,331222,Repair and maintenance se,166381.4672678395
270,292010,Bodies for motor cars and,165996.069755516
271,271221,Fuses for a voltage ≤ 1 k,165412.9672513229
272,279052,Fixed electrical capacito,165299.3156985696
273,265153,Electronic gas or smoke a,165017.6922467479
274,325022,Artificial joints,164224.69576821255
275,104141,Oilcake and other solid r,163574.5946760655
276,108519,Other prepared dishes and,163561.20784296672
277,212021,"Antisera, other immunolog",163063.76789374353
278,202011,Insecticides,162860.69601150593
279,108610,Homogenised preparations ,162825.86820881933
280,310020,"Parts of furniture, of me",160902.7202160698
281,201451,Thiocarbamates and dithio,160373.87041524012
282,242013,"Tubes and pipes, of circu",159746.84903162354
283,161011,Spruce wood (Picea abies ,158064.70377068338
284,279060,Fixed electrical resistor,157314.29642699298
285,139614,"Textile fabrics, impregna",156388.8180704196
286,103915,"Beans, preserved otherwis",155872.41254513917
287,265170,Electronic thermostats,155214.0776389618
288,103929,Dried grapes,155208.95569173235
289,205959,Ion-exchangers; getters f,155156.99493278234
290,244211,Unwrought non-alloy alumi,154809.05379199763
291,141212,Men’s or boys’ trousers a,154603.091203627
292,233211,Non-refractory clay build,154403.62254576304
293,201474,Undenatured ethyl alcohol,154230.17651315217
294,282999,Sub-contracted operations,153333.18182995555
295,271223,Electrical apparatus for ,153111.0715660609
296,281220,Parts of fluid power equi,152781.34721032987
297,274011,Sealed beam lamp units,152376.0190618411
298,252113,Parts of boilers for cent,151315.21269730252
299,265111,Direction finding compass,150683.64341972183
300,264020,Tuner blocks for CTV/VCR ,150407.98648881752
301,283039,Agricultural... forestry ,149945.53414368266
302,271224,Relays for a voltage ≤ 60,149070.69149274772
303,310210,Kitchen furniture,149068.49310519669
304,275212,Iron or steel gas domesti,148803.36214509443
305,275111,Combined refrigerators-fr,148138.95670842673
306,265181,Parts of radar apparatus ,146572.6545462077
307,105121,Skimmed milk powder (milk,146249.66972059503
308,141211,"Men’s or boys’ ensembles,",146037.73537210547
309,275124,"Vacuum cleaners, includin",145621.724782019
310,331119,Repair and maintenance of,145289.1608883572
311,289317,Bakery machinery (excl. o,144151.11789880355
312,262015,Other digital automatic d,143958.49857982618
313,262016,"Printers, capable of conn",143671.22385157814
314,282983,Cylinders for calendering,143609.9815825722
315,279011,Machines with translation,142500.17134473694
316,222922,"Self-adhesive plates, she",141867.22817423387
317,101250,Prepared skins of birds w,141563.41806066717
318,271141,Liquid dielectric transfo,140532.00795003687
319,324039,Games and toys n.e.c.,139749.9014509001
320,211054,Antibiotics,139670.95055163142
321,236511,"Panels, boards, tiles, bl",139596.5770472447
322,244530,Tungsten (wolfram) and ar,139065.61506238882
323,281332,Parts of air and vacuum p,138595.54463257175
324,108514,Cooked or uncooked pasta ,137686.73480005105
325,204217,Hair preparations (exclud,137487.83810543516
326,259313,Endless bands for machine,137378.3872489006
327,205210,Adhesives based on natura,137304.87443325444
328,259413,"Washers, rivets, cotters,",136859.20213867642
329,281420,"Parts for taps, cocks, va",136198.811250335
330,141334,Women’s or girls’ dresses,136037.79926917568
331,107212,Gingerbread and the like,135740.2650557557
332,293110,Insulated ignition wiring,135615.2230797505
333,103216,Apple juice,135336.463423906
334,289112,"Parts for converters, lad",135298.6553526421
335,104123,Crude sunflower-seed and ,135136.0496533853
336,203012,"Paints and varnishes, bas",134948.7092384963
337,272021,Lead-acid accumulators of,134863.27645647136
338,383222,Secondary raw material of,133735.06276764264
339,162413,"Cases, boxes, crates, dru",133493.1021880167
340,201433,Acrylic acid and its salt,133207.1875206131
341,222110,Monofilament with any cro,132761.7499602812
